gene_id	gene_name	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
Gfp_transgene_gene	Gfp_transgene_gene	0	0	0	0	0
HRA1	HRA1	0	0	0	0	0
snR18	snR18	10039.026892	83763.015927	21717.916032	14143.938293	27074.468283
tA(UGC)A	TGA1	0	0	0	0	0
tL(CAA)A	SUP56	0	0	0	0	0
tP(UGG)A	TRN1	0	0	0	3175.478316	0
tS(AGA)A	tS(AGA)A	4617.994675	0	0	0	0
YAL001C	TFC3	745.517607	814.70135	684.279874	403.013203	394.511658
YAL002W	VPS8	438.682176	332.062416	441.244634	390.117279	309.95338
YAL003W	EFB1	67391.132518	81394.730175	88356.257613	63837.508824	74911.227154
YAL004W	YAL004W	90.226465	0	0	0	90.453148
YAL005C	SSA1	156838.309373	126715.143298	136757.057032	111008.626342	110963.762965
YAL007C	ERP2	4601.549722	5219.762557	6380.173536	3100.260689	4613.110573
YAL008W	FUN14	1513.797192	1817.46158	1330.526101	525.16525	404.397443
YAL009W	SPO7	1132.693332	1049.932027	689.635112	368.842768	355.129294
YAL010C	MDM10	362.87391	361.340243	562.12568	516.425814	331.440606
YAL011W	SWC3	253.515084	546.893339	437.208862	264.664512	433.127117
YAL012W	CYS3	10824.774796	9165.289006	10966.227026	8980.817397	10230.681118
YAL013W	DEP1	330.228132	689.831374	695.559555	473.71849	414.606898
YAL014C	SYN8	1083.118363	1360.722717	1559.772159	1203.810602	1303.943001
YAL015C	NTG1	545.975463	468.601242	566.990863	197.166367	253.094183
YAL016C-A	YAL016C-A	0	0	0	0	0
YAL016C-B	YAL016C-B	0	0	0	0	0
YAL016W	TPD3	3762.096996	3602.360258	3770.860507	2588.069541	2654.168072
YAL017W	PSK1	1133.127824	1097.102481	1042.161292	597.634787	670.218627
YAL018C	LDS1	0	0	0	0	0
YAL019W	FUN30	1410.329014	1308.910803	1455.324598	1346.821986	1161.39403
YAL019W-A	YAL019W-A	0	0	0	0	0
YAL020C	ATS1	623.548901	394.655303	460.464655	325.125313	104.343152
YAL021C	CCR4	1977.393094	1671.35822	1707.895391	1360.550641	1523.329047
YAL022C	FUN26	1313.571724	1024.166823	1253.957933	914.002051	848.47262
YAL023C	PMT2	6301.886613	5866.171924	6226.026482	4704.852507	5199.615288
YAL024C	LTE1	523.661205	475.375825	469.315376	388.391913	494.965311
YAL025C	MAK16	1093.411385	1603.323925	1548.14942	1529.957628	1213.12706
YAL026C	DRS2	1367.469792	1612.939046	1587.089401	1065.137144	1393.353469
YAL026C-A	YAL026C-A	1913.548265	2170.604137	1945.287624	1204.742771	852.578762
YAL027W	SAW1	771.172999	692.119371	717.805596	182.637675	140.677381
YAL028W	FRT2	305.484575	221.975158	273.378167	63.770098	122.780746
YAL029C	MYO4	1806.637172	1567.253302	1653.123851	1306.170943	1436.89954
YAL030W	SNC1	3178.029333	4637.128289	7398.805139	2228.679275	2025.724176
YAL031C	GIP4	799.430138	729.908473	681.297428	395.974706	309.06234
YAL031W-A	YAL031W-A	0	0	0	0	0
YAL032C	PRP45	668.837146	583.557727	778.133528	441.871907	671.708488
YAL033W	POP5	1588.289165	1636.658738	1697.399104	1206.575614	855.304432
YAL034C	FUN19	726.418028	598.34836	853.262459	252.630403	324.288104
YAL034C-B	YAL034C-B	0	0	0	0	0
YAL034W-A	MTW1	493.804606	119.669672	775.693145	193.027902	371.713076
YAL035W	FUN12	6318.061342	6427.202571	6059.122143	6136.474109	6029.72196
YAL036C	RBG1	2484.451573	2501.931054	3288.217363	2015.598591	2356.378859
YAL037C-A	YAL037C-A	0	0	0	0	0
YAL037C-B	YAL037C-B	53.69976	0	79.602166	0	0
YAL037W	YAL037W	272.502412	334.815869	312.517527	212.985279	68.355471
YAL038W	CDC19	188000.299142	187678.910907	205851.75005	179819.906474	211139.403087
YAL039C	CYC3	674.894524	1126.177092	1339.732873	422.00406	406.312624
YAL040C	CLN3	963.331143	1093.298273	1185.412909	761.387951	1051.041023
YAL041W	CDC24	1103.31921	1041.617226	1155.062373	868.865707	927.29589
YAL042C-A	YAL042C-A	0	0	0	0	0
YAL042W	ERV46	5819.207649	5427.103564	5589.965026	3517.219318	4232.68152
YAL043C	PTA1	1326.358063	1179.098233	1222.857422	816.536483	855.666215
YAL044C	GCV3	4261.377955	7899.108329	8923.715437	3256.538076	3257.994996
YAL044W-A	YAL044W-A	1517.630216	1340.267785	3243.352853	1174.09968	1001.019731
YAL045C	YAL045C	0	0	322.812363	0	0
YAL046C	AIM1	447.26864	1040.110203	1258.496411	1040.594091	1775.074986
YAL047C	SPC72	509.712013	527.019616	475.28573	252.759773	358.577842
YAL047W-A	YAL047W-A	0	0	0	0	0
YAL048C	GEM1	428.519774	447.987097	508.861838	310.690704	239.268368
YAL049C	AIM2	2192.60483	2795.542027	2546.67484	1339.071652	1061.775451
YAL051W	OAF1	582.754392	743.490218	784.377472	631.481861	571.244841
YAL053W	FLC2	2302.688297	2276.684187	2370.329296	1430.26921	1356.860415
YAL054C	ACS1	87.847857	98.03805	71.173536	45.862156	22.074308
YAL055W	PEX22	692.286795	126.612963	328.27969	119.990462	230.947022
YAL056C-A	YAL056C-A	0	0	0	0	0
YAL056W	GPB2	1086.072859	759.624868	1061.140436	686.012995	686.780017
YAL058W	CNE1	743.465961	795.579947	733.427417	691.596456	909.377847
YAL059C-A	YAL059C-A	0	0	0	0	0
YAL059W	ECM1	1655.051468	2193.431254	2077.023074	1627.413788	1935.519719
YAL060W	BDH1	2209.014718	2104.535614	2439.421202	1013.916858	1198.006683
YAL061W	BDH2	1197.325526	554.246987	1552.004371	208.204117	200.444855
YAL062W	GDH3	611.003916	396.059768	393.643567	506.324579	469.39093
YAL063C	FLO9	46.868675	95.838975	52.114755	37.591344	12.415056
YAL063C-A	YAL063C-A	0	850.022642	440.78452	0	0
YAL064C-A	TDA8	0	0	0	0	0
YAL064W	YAL064W	0	0	493.936916	0	0
YAL064W-B	YAL064W-B	200.06946	0	146.848766	207.270655	0
YAL065C	YAL065C	0	0	0	0	0
YAL066W	YAL066W	0	0	0	0	0
YAL067C	SEO1	26.858898	72.645427	50.22765	14.019186	0
YAL067W-A	YAL067W-A	0	0	0	0	0
YAL068C	PAU8	434.441693	984.889074	1872.641267	449.529133	646.98318
YAL068W-A	YAL068W-A	0	0	891.234572	0	0
YAL069W	YAL069W	559.753188	567.903509	0	0	275.984081
YAR002C-A	ERP1	5985.944692	6967.109903	7225.67621	3987.62212	5913.731256
YAR002W	NUP60	1701.702713	1624.712331	1670.967593	966.008387	1199.943288
YAR003W	SWD1	1051.464635	611.696578	653.056886	487.593591	586.774572
YAR007C	RFA1	1480.775602	1538.081113	1499.929412	1279.355254	1154.605451
YAR008W	SEN34	590.853079	898.557745	599.082041	136.845245	329.389516
YAR009C	YAR009C	221197.787148	182223.490594	183521.985097	257874.214487	233318.418996
YAR010C	YAR010C	231283.123913	210415.641474	212182.798996	285243.057554	248055.592615
YAR014C	BUD14	1259.486314	1203.698664	1698.602938	819.026232	1110.458686
