gene_id	gene_name	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
Gfp_transgene_gene	Gfp_transgene_gene	0	0	0	0	0
HRA1	HRA1	0	0	0	0	0
snR18	snR18	10415.234495	81850.398417	21145.064548	14898.941322	28539.65463
tA(UGC)A	TGA1	0	0	0	0	0
tL(CAA)A	SUP56	0	0	0	0	0
tP(UGG)A	TRN1	0	0	0	3043.588787	0
tS(AGA)A	tS(AGA)A	4738.940712	0	0	0	0
YAL001C	TFC3	754.206023	796.098724	666.230687	436.443139	416.435076
YAL002W	VPS8	447.484858	334.620217	429.605965	415.402726	314.574919
YAL003W	EFB1	63495.035831	79145.348108	85470.362516	59371.918611	71444.674561
YAL004W	YAL004W	94.813419	0	47.059729	0	95.807534
YAL005C	SSA1	159408.992368	137013.59335	148979.21931	112544.749547	111814.357182
YAL007C	ERP2	4361.417275	5100.576194	6211.884282	3065.482972	4215.531515
YAL008W	FUN14	1485.130059	1775.962252	1295.430936	562.173521	321.380325
YAL009W	SPO7	1040.957982	1025.95822	671.44467	354.736415	375.901144
YAL010C	MDM10	380.690122	353.089517	547.298543	550.664157	350.205488
YAL011W	SWC3	265.89824	534.405755	414.171869	267.965986	457.47543
YAL012W	CYS3	11046.619304	8956.011773	10737.067385	9131.656206	10407.092633
YAL013W	DEP1	346.531785	674.079989	677.212845	482.428524	438.260824
YAL014C	SYN8	1213.490516	1399.634122	1554.788053	1125.70835	1303.62224
YAL015C	NTG1	528.871116	457.901354	552.035397	186.989372	267.543139
YAL016C-A	YAL016C-A	0	0	0	0	0
YAL016C-B	YAL016C-B	0	0	0	0	0
YAL016W	TPD3	3867.412113	3498.241127	3682.69347	2688.886348	2750.419017
YAL017W	PSK1	1164.651853	1081.538782	1029.377695	623.983043	707.394073
YAL018C	LDS1	0	0	0	0	0
YAL019W	FUN30	1422.333961	1279.023559	1416.937634	1389.444351	1197.444782
YAL019W-A	YAL019W-A	0	0	0	0	0
YAL020C	ATS1	654.553855	385.643872	448.319021	347.114221	110.354636
YAL021C	CCR4	2034.775302	1633.194969	1679.392126	1397.971239	1549.569405
YAL022C	FUN26	1377.990676	1000.78133	1235.245722	939.686004	896.433536
YAL023C	PMT2	6501.072331	5767.940461	6080.256129	4932.732319	5316.291177
YAL024C	LTE1	538.003616	464.521248	456.936287	401.879165	511.288388
YAL025C	MAK16	1147.931469	1566.714147	1563.14047	1601.67051	1283.327892
YAL026C	DRS2	1421.968471	1576.10972	1545.226921	1115.441857	1458.801629
YAL026C-A	YAL026C-A	2014.34729	2121.041266	1893.976303	1295.598575	905.609717
YAL027W	SAW1	736.313458	676.315742	698.872103	195.161464	148.90081
YAL028W	FRT2	288.412688	216.906649	266.167296	67.987041	129.716385
YAL029C	MYO4	1904.683263	1540.168667	1614.015419	1367.974264	1505.700567
YAL030W	SNC1	3349.392287	4531.245607	7203.647533	1893.654437	1915.128107
YAL031C	GIP4	816.854968	713.24198	663.326909	410.477822	326.357593
YAL031W-A	YAL031W-A	0	0	0	0	0
YAL032C	PRP45	655.135844	570.23296	778.65346	446.710359	615.460931
YAL033W	POP5	1670.179422	1599.287803	1652.626963	1224.712421	906.948822
YAL034C	FUN19	677.564298	584.685868	830.756033	247.051052	257.080132
YAL034C-B	YAL034C-B	0	0	0	0	0
YAL034W-A	MTW1	518.493359	116.937174	755.232758	171.80849	393.303799
YAL035W	FUN12	6544.565499	6319.862939	5919.66706	6450.796951	6316.89868
YAL036C	RBG1	2366.063687	2486.954545	3201.484355	2099.858046	2344.846186
YAL037C-A	YAL037C-A	0	0	0	0	0
YAL037C-B	YAL037C-B	56.370699	0	77.502507	0	0
YAL037W	YAL037W	286.182943	327.170792	338.082534	151.713321	72.343879
YAL038W	CDC19	194502.357667	184406.096052	201154.466476	186321.100114	218503.084056
YAL039C	CYC3	637.886376	1100.462329	1304.394862	450.884115	358.339187
YAL040C	CLN3	981.584673	1068.334255	1154.145381	765.636527	1051.811363
YAL041W	CDC24	1156.947736	1017.833276	1132.686013	895.379847	959.872937
YAL042C-A	YAL042C-A	0	0	0	0	0
YAL042W	ERV46	5937.837782	5303.182843	5461.286337	3752.171606	4346.081469
YAL043C	PTA1	1307.863452	1152.175087	1199.487315	847.89216	924.53017
YAL044C	GCV3	4349.745599	7856.577344	8759.551276	3280.709691	3322.444814
YAL044W-A	YAL044W-A	1332.904955	1309.664545	3157.803231	982.870224	798.614277
YAL045C	YAL045C	0	0	314.297571	0	0
YAL046C	AIM1	471.319287	1016.360665	1225.301167	995.525826	1415.781762
YAL047C	SPC72	534.611574	514.985821	462.749162	269.384218	378.73788
YAL047W-A	YAL047W-A	0	0	0	0	0
YAL048C	GEM1	449.429369	437.757905	495.439636	344.332288	252.699475
YAL049C	AIM2	2064.966352	2731.709528	2479.501431	1431.340835	963.460399
YAL051W	OAF1	580.46192	751.565797	770.159952	664.428771	603.03416
YAL053W	FLC2	2414.747753	2224.699119	2334.538696	1468.5654	1432.744761
YAL054C	ACS1	69.096787	95.799481	69.296198	61.084053	23.311291
YAL055W	PEX22	727.891487	123.721923	319.620687	64.262324	244.835199
YAL056C-A	YAL056C-A	0	0	0	0	0
YAL056W	GPB2	1120.474285	742.27984	1040.977732	701.519498	706.512615
YAL058W	CNE1	779.95203	777.413933	728.958574	701.444606	926.51618
YAL059C-A	YAL059C-A	0	0	0	0	0
YAL059W	ECM1	1642.657617	2143.347157	2022.237626	1690.080862	1952.567723
YAL060W	BDH1	2271.921405	2137.127658	2375.076812	1057.346074	1360.354863
YAL061W	BDH2	1256.38453	541.591491	1529.722446	199.898128	211.866128
YAL062W	GDH3	188.5477	709.529825	616.549446	259.99916	152.627325
YAL063C	FLO9	55.628114	95.038159	66.687874	28.77049	13.425759
YAL063C-A	YAL063C-A	0	830.613501	429.157987	0	0
YAL064C-A	TDA8	0	0	0	0	0
YAL064W	YAL064W	0	0	961.816775	0	0
YAL064W-B	YAL064W-B	210.775984	0	142.97535	111.415897	0
YAL065C	YAL065C	0	0	0	0	0
YAL066W	YAL066W	0	0	0	0	0
YAL067C	SEO1	28.172178	70.986665	48.9028	14.942604	0
YAL067W-A	YAL067W-A	0	0	0	0	0
YAL068C	PAU8	457.74908	962.400437	2486.245609	362.817349	229.294569
YAL068W-A	YAL068W-A	444.596996	0	867.726559	0	0
YAL069W	YAL069W	590.269728	554.936185	286.722158	0	0
YAR002C-A	ERP1	5919.855269	6896.441089	7126.449953	4167.445134	5982.795279
YAR002W	NUP60	1785.076315	1587.614178	1654.235367	1013.230464	1267.681968
YAR003W	SWD1	1103.295382	597.729297	635.831264	476.780679	578.833684
YAR007C	RFA1	1499.558404	1502.961068	1460.365911	1349.301516	1219.522646
YAR008W	SEN34	551.527752	878.040369	583.280109	146.198078	348.567275
YAR009C	YAR009C	219426.692928	185961.605343	186367.120301	256666.823414	231007.864346
YAR010C	YAR010C	226056.570734	205307.020585	206428.97305	281299.88886	244309.562486
YAR014C	BUD14	1274.525517	1176.213799	1673.724333	835.825432	1172.69355
