tx	gene_id	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
YAL069W	YAL069W	590.269728	554.936185	286.722158	0	0
YAL068W-A	YAL068W-A	444.596996	0	867.726559	0	0
YAL068C	YAL068C	457.74908	962.400437	2486.245609	362.817349	229.294569
YAL067W-A	YAL067W-A	0	0	0	0	0
YAL067C	YAL067C	28.172178	70.986665	48.9028	14.942604	0
YAL066W	YAL066W	0	0	0	0	0
YAL065C	YAL065C	0	0	0	0	0
YAL064W-B	YAL064W-B	210.775984	0	142.97535	111.415897	0
YAL064C-A	YAL064C-A	0	0	0	0	0
YAL064W	YAL064W	0	0	961.816775	0	0
YAL063C-A	YAL063C-A	0	830.613501	429.157987	0	0
YAL063C	YAL063C	55.628114	95.038159	66.687874	28.77049	13.425759
YAL062W	YAL062W	188.5477	709.529825	616.549446	259.99916	152.627325
YAL061W	YAL061W	1256.38453	541.591491	1529.722446	199.898128	211.866128
YAL060W	YAL060W	2271.921405	2137.127658	2375.076812	1057.346074	1360.354863
YAL059C-A	YAL059C-A	0	0	0	0	0
YAL059W	YAL059W	1642.657617	2143.347157	2022.237626	1690.080862	1952.567723
YAL058W	YAL058W	779.95203	777.413933	728.958574	701.444606	926.51618
YAL056C-A	YAL056C-A	0	0	0	0	0
YAL056W	YAL056W	1120.474285	742.27984	1040.977732	701.519498	706.512615
YAL055W	YAL055W	727.891487	123.721923	319.620687	64.262324	244.835199
YAL054C	YAL054C	69.096787	95.799481	69.296198	61.084053	23.311291
YAL053W	YAL053W	2414.747753	2224.699119	2334.538696	1468.5654	1432.744761
YAL051W	YAL051W	580.46192	751.565797	770.159952	664.428771	603.03416
YAL049C	YAL049C	2064.966352	2731.709528	2479.501431	1431.340835	963.460399
YAL048C	YAL048C	449.429369	437.757905	495.439636	344.332288	252.699475
YAL047W-A	YAL047W-A	0	0	0	0	0
YAL047C	YAL047C	534.611574	514.985821	462.749162	269.384218	378.73788
YAL046C	YAL046C	471.319287	1016.360665	1225.301167	995.525826	1415.781762
YAL045C	YAL045C	0	0	314.297571	0	0
YAL044W-A	YAL044W-A	1332.904955	1309.664545	3157.803231	982.870224	798.614277
YAL044C	YAL044C	4349.745599	7856.577344	8759.551276	3280.709691	3322.444814
YAL043C	YAL043C	1307.863452	1152.175087	1199.487315	847.89216	924.53017
YAL042C-A	YAL042C-A	0	0	0	0	0
YAL042W	YAL042W	5937.837782	5303.182843	5461.286337	3752.171606	4346.081469
